Data;Último;Abertura;Máxima;Mínima;Vol.;Var%
02.05.2018;123,83;124,62;125,92;123,62;-;1,00%
01.05.2018;122,6;122,85;122,85;122,85;0,00K;1,62%
30.04.2018;120,65;120,05;120,8;120,05;0,02K;0,25%
27.04.2018;120,35;119,8;120,3;119,15;0,02K;2,34%
26.04.2018;117,6;117,6;117,6;117,6;0,05K;0,64%
25.04.2018;116,85;117,75;117,75;116;0,02K;-1,39%
24.04.2018;118,5;117;118,5;116,65;0,09K;1,28%
23.04.2018;117;116,3;117,1;116,3;0,32K;1,08%
20.04.2018;115,75;115;115,25;114,45;0,63K;1,31%
19.04.2018;114,25;114,7;115,2;113,35;13,94K;-0,57%
18.04.2018;114,9;113,75;115,35;113,35;18,10K;1,19%
17.04.2018;113,55;114,5;114,6;113,05;17,73K;-0,61%
16.04.2018;114,25;117,3;117,35;114,15;20,64K;-2,60%
13.04.2018;117,3;118;118,95;117,1;39,10K;-0,51%
12.04.2018;117,9;118,3;118,4;117,45;26,05K;-0,21%
11.04.2018;118,15;117,85;118,35;116,5;43,03K;0,47%
10.04.2018;117,6;118,6;118,75;117,15;34,68K;-0,88%
09.04.2018;118,65;117,85;119,45;117,7;40,93K;1,02%
06.04.2018;117,45;117,6;118,05;116,8;31,35K;-0,09%
05.04.2018;117,55;117,3;118,4;117;31,09K;0,56%
04.04.2018;116,9;116,7;117,45;115,95;36,47K;0,26%
03.04.2018;116,6;116,75;117,15;116;21,39K;0,17%
02.04.2018;116,4;118,7;119,1;116,15;18,08K;-1,48%
29.03.2018;118,15;117,8;118,75;117,4;13,01K;0,34%
28.03.2018;117,75;119,15;119,2;117,35;12,66K;-1,01%
27.03.2018;118,95;118,4;119,75;117,7;19,92K;0,68%
26.03.2018;118,15;117,2;118,8;116,65;24,62K;0,81%
23.03.2018;117,2;118,9;119,15;116,5;23,23K;-1,51%
22.03.2018;119;119,35;119,65;118,15;14,01K;0,13%
21.03.2018;118,85;118,6;120,75;118,55;19,61K;-0,08%
20.03.2018;118,95;119,2;120,05;118,65;11,01K;-0,11%
19.03.2018;119,08;118,3;119,8;117,97;-;1,82%
16.03.2018;116,95;117,25;117,25;117,25;0,00K;-0,59%
15.03.2018;117,65;120;120,1;119,85;0,03K;-2,86%
14.03.2018;121,12;121,47;122,03;120,65;-;-0,13%
13.03.2018;121,28;119,4;122,03;119,12;-;1,39%
12.03.2018;119,62;120,08;120,08;118,88;-;0,65%
09.03.2018;118,85;119,75;119,75;119,4;0,00K;-0,13%
08.03.2018;119;119,1;119,1;119,1;0,00K;-0,25%
07.03.2018;119,3;118,5;119,6;118,15;0,01K;-0,54%
06.03.2018;119,95;120,1;120,1;120,1;0,00K;0,63%
05.03.2018;119,2;119,1;119,2;118,15;0,01K;-0,96%
02.03.2018;120,35;121,55;121,55;120,95;0,00K;-1,71%
01.03.2018;122,45;121,35;122;121,35;0,06K;1,16%
28.02.2018;121,05;120;120,5;120;0,00K;0,92%
27.02.2018;119,95;120,15;120,2;119,8;0,01K;-0,46%
26.02.2018;120,5;119,5;121,05;119,5;0,02K;0,88%
23.02.2018;119,45;119,8;121;118,75;0,10K;-0,13%
22.02.2018;119,6;117,65;118;117,45;0,03K;2,27%
21.02.2018;116,95;118;118,5;116,5;0,33K;-1,06%
