Data;Último;Abertura;Máxima;Mínima;Vol.;Var%
29.04.2018;123,83;122,25;125,92;121,33;-;2,89%
22.04.2018;120,35;116,3;120,3;116;0,50K;3,97%
15.04.2018;115,75;117,3;117,35;113,05;71,04K;-1,32%
08.04.2018;117,3;117,85;119,45;116,5;183,79K;-0,13%
01.04.2018;117,45;118,7;119,1;115,95;138,38K;-0,59%
25.03.2018;118,15;117,2;119,75;116,65;70,21K;0,81%
18.03.2018;117,2;119,2;120,75;116,5;67,86K;0,21%
11.03.2018;116,95;120;120,1;117,25;0,03K;-1,60%
04.03.2018;118,85;119,1;120,1;118,15;0,02K;-1,25%
25.02.2018;120,35;119,5;122;119,5;0,09K;0,75%
18.02.2018;119,45;117,75;121;116,5;1,41K;1,27%
11.02.2018;117,95;121,75;123,4;117,65;101,00K;-3,20%
04.02.2018;121,85;120,4;124,4;119,1;175,10K;1,20%
28.01.2018;120,4;125,55;125,85;119,85;129,16K;-3,80%
21.01.2018;125,15;121,65;125,5;120,5;104,80K;3,22%
14.01.2018;121,25;121,8;123,9;119,6;93,66K;-0,82%
07.01.2018;122,25;127,6;127,65;120,9;127,00K;-4,83%
31.12.2017;128,45;126;131,35;126;109,99K;1,78%
24.12.2017;126,2;120,75;126,55;120,65;53,29K;4,82%
17.12.2017;120,4;121,9;124,05;119,5;58,14K;2,95%
10.12.2017;116,95;121;121;116,9;0,03K;-3,03%
03.12.2017;120,6;126,2;127,25;125;0,53K;-5,45%
26.11.2017;127,55;125,25;130,3;124,85;0,16K;2,20%
19.11.2017;124,8;122,5;126,6;121,15;12,64K;0,81%
12.11.2017;123,8;127,5;129;123,55;92,14K;-2,94%
05.11.2017;127,55;123,95;128,35;122,25;143,58K;2,90%
29.10.2017;123,95;127;127,75;121,2;128,79K;-2,09%
22.10.2017;126,6;125,1;127,5;122,85;80,03K;1,08%
15.10.2017;125,25;126,1;128,05;123;85,55K;-0,95%
08.10.2017;126,45;131;132,7;125,4;95,96K;-2,73%
01.10.2017;130;127,8;130,7;124,3;92,60K;1,52%
24.09.2017;128,05;133,65;133,7;127,25;81,18K;-4,76%
17.09.2017;134,45;141,35;141,35;132,9;57,44K;-3,96%
10.09.2017;140;129,65;140,15;128,75;0,03K;8,19%
03.09.2017;129,4;127,5;128,4;125,95;0,02K;1,29%
27.08.2017;127,75;130,45;131;125,75;0,17K;-1,88%
20.08.2017;130,2;128,45;130;125,5;19,18K;1,68%
13.08.2017;128,05;139,55;139,85;126,75;64,66K;-8,73%
06.08.2017;140,3;139,7;143,75;136,85;129,38K;0,11%
30.07.2017;140,15;137,3;141,55;135,75;91,73K;1,67%
23.07.2017;137,85;135,55;138,9;129,35;103,50K;0,95%
16.07.2017;136,55;132,3;136,85;132;29,96K;3,68%
09.07.2017;131,7;127,7;127,75;125;0,01K;4,07%
02.07.2017;126,55;126,25;128,65;126,25;0,04K;2,02%
25.06.2017;124,05;121,6;125,35;121,6;0,15K;3,42%
18.06.2017;119,95;123,8;124,55;113;26,14K;-2,91%
11.06.2017;123,55;127,55;129,1;123;112,43K;-2,37%
04.06.2017;126,55;126,05;129,6;125,35;106,35K;0,80%
28.05.2017;125,55;130,65;133,4;125,25;78,16K;-4,31%
21.05.2017;131,2;132,1;133;127,15;72,07K;-0,68%
14.05.2017;132,1;129,2;133,4;127,7;17,92K;-2,02%
07.05.2017;134,82;135,82;137,25;133,52;-;1,29%
30.04.2017;133,1;134,65;135;132,4;0,04K;1,56%
23.04.2017;131,05;130,45;131,3;126,7;0,45K;0,92%
16.04.2017;129,85;139,1;143,7;128,8;40,86K;-6,52%
09.04.2017;138,9;140;142;137,6;104,99K;-0,82%
02.04.2017;140,05;138,8;142,8;136,25;105,99K;0,54%
26.03.2017;139,3;137,2;140,3;136,2;65,41K;1,24%
19.03.2017;137,6;144,7;144,7;137,1;45,01K;-2,27%
12.03.2017;140,8;137,45;141,1;137,4;0,03K;0,82%
05.03.2017;139,65;139,6;139,75;138,9;0,02K;-1,13%
26.02.2017;141,25;144;144;138,6;0,13K;-2,18%
19.02.2017;144,4;149,2;151,4;143,65;0,42K;-2,30%
12.02.2017;147,8;145,75;148,7;142,1;48,50K;1,41%
05.02.2017;145,75;146;146,9;141,7;112,60K;-0,34%
29.01.2017;146,25;151,7;152,5;144,7;112,21K;-4,04%
22.01.2017;152,4;153;156,95;150,25;84,00K;-0,52%
15.01.2017;153,2;148,8;153,35;146,75;56,06K;2,61%
08.01.2017;149,3;142,15;151,6;140,75;95,38K;4,52%
01.01.2017;142,85;137,8;145,45;134,4;65,92K;4,23%
25.12.2016;137,05;136;138,85;132,85;50,73K;0,66%
18.12.2016;136,15;141,15;145,25;135,95;43,74K;-1,48%
11.12.2016;138,2;135,15;139,75;135,15;0,03K;1,95%
04.12.2016;135,55;142,15;143,6;138,2;0,03K;-4,00%
27.11.2016;141,2;152,65;153,35;140,4;0,33K;-7,29%
20.11.2016;152,3;158,25;159,55;151,4;0,85K;-3,52%
13.11.2016;157,85;159;165,3;157,45;48,21K;-1,00%
06.11.2016;159,45;170;176;157,9;191,82K;-6,94%
30.10.2016;171,35;164,25;172;160,35;121,02K;3,53%
23.10.2016;165,5;156,05;166,9;155,65;120,02K;6,02%
16.10.2016;156,1;154,9;159,6;154,55;80,32K;0,45%
09.10.2016;155,4;148,2;155,9;148,05;91,67K;5,00%
02.10.2016;148;151,1;151,7;145,2;88,30K;-2,34%
25.09.2016;151,55;151,5;154,95;148,75;87,10K;0,10%
18.09.2016;151,4;149,3;160,9;149,3;67,40K;2,92%
11.09.2016;147,1;147,8;149,3;147;0,06K;-1,90%
04.09.2016;149,95;151,9;153,7;150;0,03K;-0,10%
28.08.2016;150,1;144,8;151,4;142,3;0,07K;4,31%
21.08.2016;143,9;139;146,15;138,5;4,94K;3,67%
14.08.2016;138,8;136,95;140,75;134,9;47,18K;1,42%
07.08.2016;136,85;142,95;144,3;136,5;115,14K;-3,96%
31.07.2016;142,5;145;145,75;136,95;107,40K;-2,53%
24.07.2016;146,2;142,7;146,35;139,05;75,10K;3,03%
17.07.2016;141,9;145,7;149,75;140,35;53,55K;-2,61%
10.07.2016;145,7;144,85;153,05;144,85;0,03K;2,07%
03.07.2016;142,75;145,6;145,6;140;0,10K;-1,45%
26.06.2016;144,85;134,65;146,05;133,5;0,31K;7,82%
19.06.2016;134,35;139;140,4;133,5;15,40K;-4,55%
12.06.2016;140,75;140,1;142,15;132,15;81,01K;2,77%
05.06.2016;136,95;127,3;145;127,1;202,77K;7,75%
29.05.2016;127,1;121,55;127,4;120,85;92,74K;4,78%
22.05.2016;121,3;124,5;124,7;120,8;81,85K;-2,73%
15.05.2016;124,7;128,75;132,6;123,7;45,26K;-3,18%
08.05.2016;128,8;125,9;128,75;125,9;0,04K;4,33%
01.05.2016;123,45;122,1;124;118,7;0,33K;2,15%
24.04.2016;120,85;122,5;126,25;120;0,39K;-1,55%
17.04.2016;122,75;123,1;130;122;21,97K;-0,16%
10.04.2016;122,95;121,35;125,5;119,8;91,61K;2,08%
03.04.2016;120,45;125,8;126,55;119,05;131,87K;-5,34%
27.03.2016;127,25;127,45;130;124,4;94,74K;-0,24%
20.03.2016;127,55;133,7;136,4;127,4;77,33K;-4,71%
13.03.2016;133,85;125;134,4;123,35;0,02K;7,60%
06.03.2016;124,4;117,65;124,05;116,9;0,06K;4,71%
28.02.2016;118,8;112,3;115,4;111,35;0,13K;5,13%
21.02.2016;113;116,2;120,35;113,35;0,54K;-2,38%
14.02.2016;115,75;116,4;117,55;113,2;45,36K;0,17%
07.02.2016;115,55;120;120;112,5;135,92K;-4,03%
31.01.2016;120,4;115,8;124;114,95;109,77K;3,48%
